date,state,fips,cases,deaths
1/21/20,Washington,53,1,0
1/22/20,Washington,53,1,0
1/23/20,Washington,53,1,0
1/24/20,Illinois,17,1,0
1/24/20,Washington,53,1,0
1/25/20,California,6,1,0
1/25/20,Illinois,17,1,0
1/25/20,Washington,53,1,0
1/26/20,Arizona,4,1,0
1/26/20,California,6,2,0
1/26/20,Illinois,17,1,0
1/26/20,Washington,53,1,0
1/27/20,Arizona,4,1,0
1/27/20,California,6,2,0
1/27/20,Illinois,17,1,0
1/27/20,Washington,53,1,0
1/28/20,Arizona,4,1,0
1/28/20,California,6,2,0
1/28/20,Illinois,17,1,0
1/28/20,Washington,53,1,0
1/29/20,Arizona,4,1,0
1/29/20,California,6,2,0
1/29/20,Illinois,17,1,0
1/29/20,Washington,53,1,0
1/30/20,Arizona,4,1,0
1/30/20,California,6,2,0
1/30/20,Illinois,17,2,0
1/30/20,Washington,53,1,0
1/31/20,Arizona,4,1,0
1/31/20,California,6,3,0
1/31/20,Illinois,17,2,0
1/31/20,Washington,53,1,0
2/1/20,Arizona,4,1,0
2/1/20,California,6,3,0
2/1/20,Illinois,17,2,0
2/1/20,Massachusetts,25,1,0
2/1/20,Washington,53,1,0
2/2/20,Arizona,4,1,0
2/2/20,California,6,6,0
2/2/20,Illinois,17,2,0
2/2/20,Massachusetts,25,1,0
2/2/20,Washington,53,1,0
2/3/20,Arizona,4,1,0
2/3/20,California,6,6,0
2/3/20,Illinois,17,2,0
2/3/20,Massachusetts,25,1,0
2/3/20,Washington,53,1,0
2/4/20,Arizona,4,1,0
2/4/20,California,6,6,0
2/4/20,Illinois,17,2,0
2/4/20,Massachusetts,25,1,0
2/4/20,Washington,53,1,0
2/5/20,Arizona,4,1,0
2/5/20,California,6,6,0
2/5/20,Illinois,17,2,0
2/5/20,Massachusetts,25,1,0
2/5/20,Washington,53,1,0
2/5/20,Wisconsin,55,1,0
2/6/20,Arizona,4,1,0
2/6/20,California,6,6,0
2/6/20,Illinois,17,2,0
2/6/20,Massachusetts,25,1,0
2/6/20,Washington,53,1,0
2/6/20,Wisconsin,55,1,0
2/7/20,Arizona,4,1,0
2/7/20,California,6,6,0
2/7/20,Illinois,17,2,0
2/7/20,Massachusetts,25,1,0
2/7/20,Washington,53,1,0
2/7/20,Wisconsin,55,1,0
2/8/20,Arizona,4,1,0
2/8/20,California,6,6,0
2/8/20,Illinois,17,2,0
2/8/20,Massachusetts,25,1,0
2/8/20,Washington,53,1,0
2/8/20,Wisconsin,55,1,0
2/9/20,Arizona,4,1,0
2/9/20,California,6,6,0
2/9/20,Illinois,17,2,0
2/9/20,Massachusetts,25,1,0
2/9/20,Washington,53,1,0
2/9/20,Wisconsin,55,1,0
2/10/20,Arizona,4,1,0
2/10/20,California,6,7,0
2/10/20,Illinois,17,2,0
2/10/20,Massachusetts,25,1,0
2/10/20,Washington,53,1,0
2/10/20,Wisconsin,55,1,0
2/11/20,Arizona,4,1,0
2/11/20,California,6,7,0
2/11/20,Illinois,17,2,0
2/11/20,Massachusetts,25,1,0
2/11/20,Washington,53,1,0
2/11/20,Wisconsin,55,1,0
2/12/20,Arizona,4,1,0
2/12/20,California,6,7,0
2/12/20,Illinois,17,2,0
2/12/20,Massachusetts,25,1,0
2/12/20,Texas,48,1,0
2/12/20,Washington,53,1,0
2/12/20,Wisconsin,55,1,0
2/13/20,Arizona,4,1,0
2/13/20,California,6,7,0
2/13/20,Illinois,17,2,0
2/13/20,Massachusetts,25,1,0
2/13/20,Texas,48,2,0
2/13/20,Washington,53,1,0
2/13/20,Wisconsin,55,1,0
2/14/20,Arizona,4,1,0
2/14/20,California,6,7,0
2/14/20,Illinois,17,2,0
2/14/20,Massachusetts,25,1,0
2/14/20,Texas,48,2,0
2/14/20,Washington,53,1,0
2/14/20,Wisconsin,55,1,0
2/15/20,Arizona,4,1,0
2/15/20,California,6,7,0
2/15/20,Illinois,17,2,0
2/15/20,Massachusetts,25,1,0
2/15/20,Texas,48,2,0
2/15/20,Washington,53,1,0
2/15/20,Wisconsin,55,1,0
2/16/20,Arizona,4,1,0
2/16/20,California,6,7,0
2/16/20,Illinois,17,2,0
2/16/20,Massachusetts,25,1,0
2/16/20,Texas,48,2,0
2/16/20,Washington,53,1,0
2/16/20,Wisconsin,55,1,0
2/17/20,Arizona,4,1,0
2/17/20,California,6,7,0
2/17/20,Illinois,17,2,0
2/17/20,Massachusetts,25,1,0
2/17/20,Nebraska,31,10,0
2/17/20,Texas,48,2,0
2/17/20,Washington,53,1,0
2/17/20,Wisconsin,55,1,0
2/18/20,Arizona,4,1,0
2/18/20,California,6,7,0
2/18/20,Illinois,17,2,0
2/18/20,Massachusetts,25,1,0
2/18/20,Nebraska,31,10,0
2/18/20,Texas,48,2,0
2/18/20,Washington,53,1,0
2/18/20,Wisconsin,55,1,0
2/19/20,Arizona,4,1,0
2/19/20,California,6,7,0
2/19/20,Illinois,17,2,0
2/19/20,Massachusetts,25,1,0
2/19/20,Nebraska,31,10,0
2/19/20,Texas,48,2,0
2/19/20,Washington,53,1,0
2/19/20,Wisconsin,55,1,0
2/20/20,Arizona,4,1,0
2/20/20,California,6,8,0
2/20/20,Illinois,17,2,0
2/20/20,Massachusetts,25,1,0
2/20/20,Nebraska,31,11,0
2/20/20,Texas,48,2,0
2/20/20,Washington,53,1,0
2/20/20,Wisconsin,55,1,0
2/21/20,Arizona,4,1,0
2/21/20,California,6,9,0
2/21/20,Illinois,17,2,0
2/21/20,Massachusetts,25,1,0
2/21/20,Nebraska,31,11,0
2/21/20,Texas,48,4,0
2/21/20,Washington,53,1,0
2/21/20,Wisconsin,55,1,0
2/22/20,Arizona,4,1,0
2/22/20,California,6,9,0
2/22/20,Illinois,17,2,0
2/22/20,Massachusetts,25,1,0
2/22/20,Nebraska,31,11,0
2/22/20,Texas,48,4,0
2/22/20,Washington,53,1,0
2/22/20,Wisconsin,55,1,0
2/23/20,Arizona,4,1,0
2/23/20,California,6,9,0
2/23/20,Illinois,17,2,0
2/23/20,Massachusetts,25,1,0
2/23/20,Nebraska,31,11,0
2/23/20,Texas,48,4,0
2/23/20,Washington,53,1,0
2/23/20,Wisconsin,55,1,0
2/24/20,Arizona,4,1,0
2/24/20,California,6,11,0
2/24/20,Illinois,17,2,0
2/24/20,Massachusetts,25,1,0
2/24/20,Nebraska,31,12,0
2/24/20,Texas,48,10,0
2/24/20,Washington,53,5,0
2/24/20,Wisconsin,55,1,0
2/25/20,Arizona,4,1,0
2/25/20,California,6,11,0
2/25/20,Illinois,17,2,0
2/25/20,Massachusetts,25,1,0
2/25/20,Nebraska,31,13,0
2/25/20,Texas,48,10,0
2/25/20,Utah,49,1,0
2/25/20,Washington,53,5,0
2/25/20,Wisconsin,55,1,0
2/26/20,Arizona,4,1,0
2/26/20,California,6,26,0
2/26/20,Illinois,17,2,0
2/26/20,Massachusetts,25,1,0
2/26/20,Nebraska,31,13,0
2/26/20,Texas,48,10,0
2/26/20,Utah,49,1,0
2/26/20,Washington,53,5,0
2/26/20,Wisconsin,55,1,0
2/27/20,Arizona,4,1,0
2/27/20,California,6,26,0
2/27/20,Illinois,17,2,0
2/27/20,Massachusetts,25,1,0
2/27/20,Nebraska,31,13,0
2/27/20,Texas,48,10,0
2/27/20,Utah,49,1,0
2/27/20,Washington,53,5,0
2/27/20,Wisconsin,55,1,0
2/28/20,Arizona,4,1,0
2/28/20,California,6,27,0
2/28/20,Illinois,17,2,0
2/28/20,Massachusetts,25,1,0
2/28/20,Nebraska,31,13,0
2/28/20,Oregon,41,1,0
2/28/20,Texas,48,11,0
2/28/20,Utah,49,1,0
2/28/20,Washington,53,7,0
2/28/20,Wisconsin,55,1,0
2/29/20,Arizona,4,1,0
2/29/20,California,6,28,0
2/29/20,Illinois,17,3,0
2/29/20,Massachusetts,25,1,0
2/29/20,Nebraska,31,13,0
2/29/20,Oregon,41,1,0
2/29/20,Texas,48,11,0
2/29/20,Utah,49,1,0
2/29/20,Washington,53,10,1
2/29/20,Wisconsin,55,1,0
3/1/20,Arizona,4,1,0
3/1/20,California,6,33,0
3/1/20,Florida,12,2,0
3/1/20,Illinois,17,3,0
3/1/20,Massachusetts,25,1,0
3/1/20,Nebraska,31,13,0
3/1/20,New York,36,1,0
3/1/20,Oregon,41,2,0
3/1/20,Rhode Island,44,2,0
3/1/20,Texas,48,11,0
3/1/20,Utah,49,1,0
3/1/20,Washington,53,17,3
3/1/20,Wisconsin,55,1,0
3/2/20,Arizona,4,1,0
3/2/20,California,6,38,0
3/2/20,Florida,12,2,0
3/2/20,Georgia,13,2,0
3/2/20,Illinois,17,4,0
3/2/20,Massachusetts,25,2,0
3/2/20,Nebraska,31,13,0
3/2/20,New Hampshire,33,1,0
3/2/20,New York,36,1,0
3/2/20,Oregon,41,2,0
3/2/20,Rhode Island,44,2,0
3/2/20,Texas,48,11,0
3/2/20,Utah,49,1,0
3/2/20,Washington,53,23,6
3/2/20,Wisconsin,55,1,0
3/3/20,Arizona,4,2,0
3/3/20,California,6,45,0
3/3/20,Florida,12,3,0
3/3/20,Georgia,13,2,0
3/3/20,Illinois,17,4,0
3/3/20,Massachusetts,25,2,0
3/3/20,Nebraska,31,13,0
3/3/20,New Hampshire,33,2,0
3/3/20,New York,36,2,0
3/3/20,North Carolina,37,1,0
3/3/20,Oregon,41,2,0
3/3/20,Rhode Island,44,2,0
3/3/20,Texas,48,11,0
3/3/20,Utah,49,1,0
3/3/20,Washington,53,32,10
3/3/20,Wisconsin,55,1,0
3/4/20,Arizona,4,2,0
3/4/20,California,6,55,1
3/4/20,Florida,12,3,0
3/4/20,Georgia,13,2,0
3/4/20,Illinois,17,4,0
3/4/20,Massachusetts,25,2,0
3/4/20,Nebraska,31,13,0
3/4/20,New Hampshire,33,2,0
3/4/20,New Jersey,34,1,0
3/4/20,New York,36,11,0
3/4/20,North Carolina,37,1,0
3/4/20,Oregon,41,2,0
3/4/20,Rhode Island,44,2,0
3/4/20,Texas,48,12,0
3/4/20,Utah,49,1,0
3/4/20,Washington,53,47,11
3/4/20,Wisconsin,55,1,0
3/5/20,Arizona,4,2,0
3/5/20,California,6,67,1
3/5/20,Colorado,8,2,0
3/5/20,Florida,12,4,0
3/5/20,Georgia,13,2,0
3/5/20,Illinois,17,5,0
3/5/20,Maryland,24,3,0
3/5/20,Massachusetts,25,3,0
3/5/20,Nebraska,31,13,0
3/5/20,Nevada,32,2,0
3/5/20,New Hampshire,33,2,0
3/5/20,New Jersey,34,2,0
3/5/20,New York,36,22,0
3/5/20,North Carolina,37,1,0
3/5/20,Oregon,41,2,0
3/5/20,Rhode Island,44,2,0
3/5/20,Tennessee,47,1,0
3/5/20,Texas,48,16,0
3/5/20,Utah,49,1,0
3/5/20,Washington,53,75,11
3/5/20,Wisconsin,55,1,0
